Name,Tm,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,FIP,WHIP,H9,BB,SO9,DateTime
David Hess,BAL,1,4,5.88,6,5,0,26.0,25,17,17,8,7,18,6.56,1.2309999999999999,8.7,7,6.2,2019-05-04 10:49:57
Jordan Hicks,STL,1,1,2.38,11,0,8,11.1,6,3,3,1,5,14,3.4,0.971,4.8,5,11.1,2019-05-04 10:49:57
Trevor Hildenberger,MIN,2,1,2.16,12,0,1,8.1,8,2,2,0,4,10,2.53,1.44,8.6,4,10.8,2019-05-04 10:49:57
Yoshihisa Hirano,ARI,1,1,4.5,12,0,1,10.0,13,7,5,0,4,14,1.53,1.7,11.7,4,12.6,2019-05-04 10:49:57
Jonathan Holder,NYY,1,0,5.4,9,0,0,13.1,15,9,8,2,3,15,3.73,1.35,10.1,3,10.1,2019-05-04 10:49:57
Derek Holland,SFG,1,4,5.34,6,6,0,32.0,26,19,19,7,16,40,5.16,1.3130000000000002,7.3,16,11.3,2019-05-04 10:49:57
Adrian Houser,MIL,0,1,11.25,1,1,0,4.0,9,5,5,2,1,3,8.88,2.5,20.3,1,6.8,2019-05-04 10:49:57
Dakota Hudson,STL,2,1,5.63,6,5,1,24.0,33,16,15,8,13,19,7.51,1.9169999999999998,12.4,13,7.1,2019-05-04 10:49:57
Daniel Hudson,TOR,1,1,4.63,12,0,0,11.2,8,6,6,3,4,13,5.53,1.0290000000000001,6.2,4,10.0,2019-05-04 10:49:57
Jared Hughes,CIN,2,0,5.73,14,0,0,11.0,12,7,7,1,5,8,4.5,1.545,9.8,5,6.5,2019-05-04 10:49:57
Raisel Iglesias,CIN,0,3,3.65,11,0,6,12.1,10,5,5,2,6,19,3.62,1.297,7.3,6,13.9,2019-05-04 10:49:57
Luke Jackson,ATL,2,0,2.7,12,0,0,13.1,11,4,4,1,6,15,3.21,1.275,7.4,6,10.1,2019-05-04 10:49:57
Kenley Jansen,LAD,2,0,3.29,13,0,9,13.2,9,7,5,3,2,17,3.94,0.805,5.9,2,11.2,2019-05-04 10:49:57
Joe Jimenez,DET,1,1,5.23,12,0,0,10.1,11,6,6,2,6,15,5.07,1.645,9.6,6,13.1,2019-05-04 10:49:57
Brian Johnson,BOS,1,0,12.71,4,0,0,5.2,10,8,8,3,3,7,9.13,2.294,15.9,3,11.1,2019-05-04 10:49:57
DJ Johnson,COL,0,1,5.79,11,0,0,9.1,9,6,6,0,9,9,4.42,1.929,8.7,9,8.7,2019-05-04 10:49:57
Nate Jones,CHW,0,1,3.48,13,0,1,10.1,10,4,4,2,7,10,6.04,1.645,8.7,7,8.7,2019-05-04 10:49:57
Jakob Junis,KCR,2,2,5.57,6,6,0,32.1,38,21,20,5,10,32,4.28,1.485,10.6,10,8.9,2019-05-04 10:49:57
Tommy Kahnle,NYY,1,0,1.86,11,0,0,9.2,4,2,2,1,5,13,3.34,0.9309999999999999,3.7,5,12.1,2019-05-04 10:49:57
Keone Kela,PIT,1,0,5.59,11,0,0,9.2,9,6,6,3,4,10,6.34,1.345,8.4,4,9.3,2019-05-04 10:49:57
